1.02453,14,24
1.02472,9,24
1.03138,5,31
1.05571,8,55
1.0561,12,56
1.05672,15,56
1.06224,10,62
1.07634,6,76
1.08166,4,81
1.08237,11,82
1.08749,17,87
1.09732,2,97
1.09925,18,99
1.11858,1,118
1.12004,3,120
1.126,16,125
1.13712,13,137
1.14189,7,141
2.02007,7,20
2.03716,5,37
2.04025,15,40
2.05372,8,53
2.05923,18,59
2.06189,3,61
2.06509,2,65
2.08197,9,81
2.09246,16,92
2.09303,14,93
2.09957,4,99
2.108,1,108
2.11263,13,112
2.11613,12,116
2.12141,10,121
2.12336,11,123
2.13591,6,135
2.14689,17,146
3.00271,1,2
3.00594,2,5
3.01399,16,13
3.02013,8,20
3.02053,9,20
3.02706,7,27
3.02718,14,27
3.03037,17,30
3.04084,11,40
3.0412,13,41
3.0466,4,46
3.05256,12,52
3.06068,10,60
3.06094,6,60
3.06418,18,64
3.08316,3,83
3.11407,5,114
3.14104,15,141
4.00576,12,5
4.01952,1,19
4.02008,16,20
4.03077,6,30
4.0414,11,41
4.05954,8,59
4.06737,17,67
4.0784,10,78
4.07911,4,79
4.08364,5,83
4.08468,14,84
4.09698,15,96
4.09926,2,99
4.10412,18,104
4.11292,9,112
4.14021,7,140
4.14156,3,141
4.14503,13,145
5.00648,10,6
5.0304,11,30
5.031,6,30
5.04817,18,48
5.05562,1,55
5.07049,12,70
5.07607,17,76
5.07608,8,76
5.08896,15,88
5.10552,4,105
5.10696,13,106
5.10794,7,107
5.11631,2,116
5.11802,14,118
5.13315,3,133
5.13663,9,136
5.14025,16,140
5.14829,5,148
6.00972,5,9
6.01232,16,12
6.03278,15,32
6.03576,9,35
6.0411,1,41
6.04518,17,45
6.08494,4,84
6.08538,13,85
6.08728,18,87
6.09662,2,96
6.10573,10,105
6.11525,11,115
6.11982,14,119
6.12937,6,129
6.13078,3,130
6.13677,7,136
6.13793,12,137
6.14599,8,145
7.00566,7,5
7.01045,9,10
7.02426,11,24
7.04048,14,40
7.0416,3,41
7.04857,13,48
7.05794,2,57
7.05988,4,59
7.0613,1,61
7.06501,10,65
7.08998,12,89
7.10986,16,109
7.11459,18,114
7.11851,17,118
7.12055,5,120
7.13061,6,130
7.13748,15,137
7.15055,8,150
8.00558,1,5
8.00616,16,6
8.00875,17,8
8.04173,7,41
8.04322,8,43
8.04692,18,46
8.04874,14,48
8.0532,5,53
8.05975,10,59
8.06603,2,66
8.09623,11,96
8.09918,4,99
8.103,13,103
8.10918,6,109
8.1154,3,115
8.11544,9,115
8.12458,12,124
8.1385,15,138
9.00382,5,3
9.00528,9,5
9.00931,2,9
9.01849,16,18
9.02087,3,20
9.02908,12,29
9.03898,4,38
9.05135,6,51
9.05358,10,53
9.05729,15,57
9.05888,18,58
9.06583,1,65
9.07314,13,73
9.10319,7,103
9.11199,14,111
9.12127,8,121
9.12282,11,122
9.12846,17,128
10.0055,5,5
10.0094,9,9
10.0121,16,12
10.0146,13,14
10.019,8,18
10.0244,14,24
10.0247,12,24
10.0421,6,42
10.0667,2,66
10.0749,11,74
10.076,4,76
10.0869,15,86
10.0891,10,89
10.0957,1,95
10.0962,17,96
10.0964,3,96
10.0994,18,99
10.1142,7,114
11.0036,9,3
11.0048,15,4
11.022,7,22
11.0264,13,26
11.0363,8,36
11.05,10,49
11.056,17,56
11.0561,12,56
11.0585,1,58
11.0671,2,67
11.0769,3,76
11.0802,6,80
11.0875,4,87
11.1064,18,106
11.107,16,106
11.1255,11,125
11.1343,5,134
11.1395,14,139
12.0033,6,3
12.0173,13,17
12.0348,1,34
12.0375,3,37
12.0395,14,39
12.0854,8,85
12.092,17,91
12.0951,9,95
12.1051,7,105
12.1052,18,105
12.1156,11,115
12.1194,4,119
12.1281,15,128
12.1402,5,140
12.1417,12,141
12.1485,16,148
12.1504,2,150
12.1511,10,151
13.0022,14,2
13.0074,2,7
13.0086,7,8
13.016,4,15
13.018,8,18
13.0201,13,20
13.0216,5,21
13.0475,10,47
13.0498,18,49
13.0619,1,61
13.0684,17,68
13.1081,16,108
13.1104,3,110
13.1153,15,115
13.1156,11,115
13.123,6,122
13.1257,9,125
13.1394,12,139
14.0182,16,18
14.0275,1,27
14.0369,15,36
14.0389,13,38
14.0456,2,45
14.0518,7,51
14.0545,4,54
14.0605,8,60
14.0777,11,77
14.0799,6,79
14.0855,18,85
14.0947,9,94
14.0964,12,96
14.1037,3,103
14.105,14,105
14.1146,17,114
14.1357,5,135
14.1405,10,140
15.0086,12,8
15.0111,5,11
15.019,18,19
15.0206,13,20
15.0276,6,27
15.0307,8,30
15.0309,7,30
15.0334,14,33
15.0593,1,59
15.0668,11,66
15.101,16,100
15.1011,4,101
15.1017,15,101
15.1111,17,111
15.1247,3,124
15.1384,9,138
15.1481,2,148
15.1499,10,149
16.0024,12,2
16.0127,4,12
16.0237,9,23
16.0251,8,25
16.0262,15,26
16.035,11,35
16.0416,18,41
16.0537,16,53
16.0663,6,66
16.0698,7,69
16.09,2,89
16.0933,13,93
16.0955,3,95
16.0995,14,99
16.1227,10,122
16.1277,1,127
16.1283,5,128
16.1394,17,139
17.005,1,4
17.0089,8,8
17.0126,13,12
17.0144,6,14
17.0289,5,28
17.034,15,33
17.035,18,35
17.0352,3,35
17.0355,11,35
17.0425,4,42
17.0532,9,53
17.0658,2,65
17.0658,7,65
17.0723,17,72
17.0805,12,80
17.0864,14,86
17.095,10,95
17.1311,16,131
18.0345,13,34
18.0434,10,43
18.0497,5,49
18.0518,6,51
18.0521,7,52
18.0571,4,57
18.0758,16,75
18.0815,1,81
18.0859,8,85
18.0962,14,96
18.0993,9,99
18.1045,2,104
18.1103,15,110
18.124,18,123
18.1254,17,125
18.1256,12,125
18.1319,11,131
18.1326,3,132
19.0066,7,6
19.0152,4,15
19.0166,11,16
19.0193,15,19
19.0202,18,20
19.0365,16,36
19.0422,17,42
19.0507,14,50
19.0534,10,53
19.0573,9,57
19.0692,1,69
19.0762,3,76
19.0922,13,92
19.0989,8,98
19.1016,6,101
19.1414,2,141
19.1455,5,145
19.1464,12,146
20.0141,17,14
20.0167,2,16
20.0234,11,23
20.0268,18,26
20.027,9,26
20.0403,16,40
20.044,8,43
20.0485,14,48
20.0492,10,49
20.0526,5,52
20.0914,13,91
20.0933,3,93
20.0935,1,93
20.0974,6,97
20.0992,12,99
20.1143,15,114
20.1202,7,120
20.1453,4,145
21.0034,10,3
21.0148,5,14
21.03,14,30
21.0493,8,49
21.058,9,57
21.0683,4,68
21.0756,6,75
21.0818,15,81
21.0879,7,87
21.0886,17,88
21.0907,18,90
21.0945,3,94
21.1065,2,106
21.1194,12,119
21.128,11,128
21.1309,1,130
21.134,16,134
21.1416,13,141
22.0041,15,4
22.0063,3,6
22.0092,18,9
22.0157,9,15
22.0211,16,21
22.0252,17,25
22.059,4,58
22.0614,6,61
22.0789,1,78
22.0884,2,88
22.0903,14,90
22.093,7,93
22.097,10,97
22.1022,12,102
22.1086,8,108
22.1178,11,117
22.1317,5,131
22.1494,13,149
23.0025,14,2
23.0031,5,3
23.0199,9,19
23.022,13,21
23.0263,4,26
23.0273,17,27
23.0316,10,31
23.0503,8,50
23.0666,15,66
23.0682,18,68
23.0702,1,70
23.0772,3,77
23.0798,16,79
23.0966,11,96
23.0999,6,99
23.1192,12,119
23.1223,2,122
23.144,7,144
24.0054,18,5
24.0066,5,6
24.0084,2,8
24.0109,16,10
24.0149,9,14
24.0155,10,15
24.0182,8,18
24.0206,14,20
24.0234,15,23
24.0275,6,27
24.0534,12,53
24.0588,4,58
24.0778,13,77
24.0831,7,83
24.1036,11,103
24.1059,17,105
24.1189,1,118
24.1375,3,137
25.0122,10,12
25.0232,17,23
25.0232,14,23
25.0247,12,24
25.0285,6,28
25.0392,8,39
25.0752,9,75
25.0945,2,94
25.0974,5,97
25.0995,13,99
25.1024,15,102
25.1078,16,107
25.1112,18,111
25.1177,1,117
25.125,3,125
25.1364,11,136
25.1447,7,144
25.1472,4,147
26.0049,2,4
26.023,5,23
26.0309,14,30
26.0341,12,34
26.0399,8,39
26.0431,10,43
26.0533,7,53
26.0551,1,55
26.0623,3,62
26.0686,13,68
26.0716,18,71
26.0767,15,76
26.0861,16,86
26.1045,17,104
26.1283,11,128
26.1444,6,144
26.1448,9,144
26.1505,4,150
27.0049,13,4
27.0086,8,8
27.0366,9,36
27.038,10,38
27.0417,4,41
27.0433,3,43
27.0549,15,54
27.0666,1,66
